"filename", "language", "JSON with Comments", "CSS", "JavaScript", "SVG", "TypeScript", "JSON", "Markdown", "JavaScript React", "HTML", "comment", "blank", "total"
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/PhoneBook.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Pitcher.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Plate.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Pot.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/PotatoPeeler.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Raisin.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Scissors.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Soap.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Spatula.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Sponge.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Spoon.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Stove.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/StoveLighter.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Stovetop.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Straw.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Tap.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Teaspoon.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/TimeDistance.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/TimeDistance2.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/TimeDistance3.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Toothbrush.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Trashcan.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Tupperware.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/UpArrow.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Utensils.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/WaterBottle.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/WaterFaucet.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/ZoomIn.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/ZoomOut.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/index.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/banana.svg", "SVG", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 1, 50
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/bottle.svg", "SVG", 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 52
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/bowl.svg", "SVG", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 1, 43
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/coffee_machine.svg", "SVG", 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 1, 63
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/coffee_pot.svg", "SVG", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 1, 48
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/container.svg", "SVG", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/cutlery.svg", "SVG", 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 1, 57
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/detergent.svg", "SVG", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/door.svg", "SVG", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 1, 49
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/drawer.svg", "SVG", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 1, 61
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/fridge.svg", "SVG", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 1, 46
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/fruit_juice.svg", "SVG", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 1, 60
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/glass.svg", "SVG", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 1, 44
"/media/kian/Local Disk/HAKEE/my_activity/src/images/action_events/jar.svg", "SVG", 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 1, 47
